name,latitude,longitude
N.KTUH,35.1803,140.2656
N.KT2H,35.1714,140.3398
N.KMWH,35.1384,139.9649
N.MINH,35.1052,139.9876
N.IWKH,35.1015,139.8679
N.KMSH,35.0882,140.0997
N.TYMH,34.9746,139.8451
N.CKRH,34.9707,139.9459
N.TY2H,34.9591,139.7885
N.HHRH,35.7385,139.0732
N.HH2H,35.7017,139.1275
N.HOJH,35.6701,139.265
N.FCHH,35.6539,139.4704
N.KOTH,35.6114,139.8125
N.NJMH,34.4236,139.2828
N.KHZH,34.1993,139.1353
N.MKEH,34.1092,139.506
N.HCJH,33.0771,139.8396
N.FJOH,35.6437,139.1283
N.HRMH,35.5541,139.6762
N.AKWH,35.5232,139.3149
N.YKHH,35.4991,139.5195
N.YMKH,35.4904,139.0594
N.KIYH,35.4628,139.2146
N.KRKH,35.4443,139.1157
N.YM2H,35.4173,139.0436
N.ATGH,35.404,139.3539
N.YFTH,35.37,139.6184
N.MTDH,35.3663,139.126
N.YKSH,35.3583,139.091
N.HRTH,35.3203,139.3088
N.ASGH,35.3167,139.0247
N.HYMH,35.2624,139.611
N.ODWH,35.2524,139.1042
N.YSKH,35.211,139.6964
N.MNZH,35.1457,139.15
N.AHIH,38.2799,139.5486
N.ARKH,38.1326,139.4292
N.SKWH,38.1312,139.5426
N.SROH,37.9759,139.2788
N.TWAH,37.6708,139.4648
N.MRMH,37.6658,139.261
N.KMOH,37.6527,139.0676
N.KMKH,37.5438,139.3648
N.STDH,37.5386,139.1279
N.NGOH,37.4272,138.8876
N.YNTH,37.2239,138.9821
N.KWNH,37.1728,138.744
N.MAKH,37.0544,138.3966
N.MUIH,37.0533,138.9951
N.SZWH,37.0303,138.8521
N.MKOH,36.9425,138.2594
N.IGWH,36.9378,137.848
N.MKGH,36.8568,138.0967
N.YZWH,36.8114,138.7849
N.HIMH,36.8866,136.9276
N.UOZH,36.7914,137.4689
N.TOYH,36.7294,137.2627
N.DMOH,36.7142,137.0378
N.KHTH,36.6705,137.424
N.IMIH,36.5736,136.9584
N.YTOH,36.5711,137.1595
N.TOGH,36.4406,137.0392
N.SUZH,37.5266,137.2844
N.YGDH,37.3644,137.0413
N.UCUH,37.3458,137.2436
N.WMZH,37.2906,136.7578
N.AMZH,37.2224,136.9689
N.TGIH,37.1902,136.7176
N.SHKH,37.0533,136.8206
N.TBTH,36.738,136.7906
N.KNZH,36.515,136.6357
N.OKCH,36.2667,136.7167
N.EIHH,36.0955,136.3617
N.OTAH,35.9483,136.0556
N.IZUH,35.9415,136.699
N.TRGH,35.639,136.0303
N.MIKH,35.5587,135.8694
N.TKHH,35.4907,135.4841
N.OBMH,35.4573,135.7266
N.SDMH,35.8675,138.5739
N.HQNH,35.8501,138.2644
N.HQSH,35.7974,138.2982
N.NRSH,35.7604,138.3874
N.KF2H,35.7421,138.5652
N.ENZH,35.7392,138.8019
N.NSHH,35.6895,138.734
N.ASYH,35.6386,138.3703
N.OOKH,35.6247,138.9777
N.MSFH,35.5623,138.449
N.HYNH,35.5351,138.3087
N.KKKH,35.5323,138.6045
N.TR2H,35.5153,138.8838
N.TRUH,35.5138,138.9408
N.TU2H,35.5115,138.9675
N.SHJH,35.4956,138.6086
N.HYKH,35.4327,138.3325
N.SMBH,35.4189,138.4803
N.MBUH,35.3509,138.4203
N.NZWH,36.9102,138.4408
N.OTNH,36.8089,137.9039
N.NKNH,36.7431,138.3759
N.TGKH,36.7075,138.0964
N.HBAH,36.6984,137.8482
N.HKKH,36.644,137.8594
N.OSTH,36.6317,137.9656
N.SSSH,36.577,138.0479
N.SNBH,36.5533,137.9415
N.OM2H,36.5327,137.8201
N.OMCH,36.4946,137.7239
N.OMYH,36.468,137.8691
N.KMDH,36.4663,138.1474
N.IKSH,36.4598,137.9637
N.CHHH,36.4022,138.0208
N.HOTH,36.3824,137.8201
N.AAKH,36.3726,137.9203
N.MYTH,36.3308,138.4967
N.AHMH,36.3137,137.8072
N.MANH,36.3127,138.0167
N.ATYH,36.3036,137.939
N.TKSH,36.2859,138.2491
N.MMOH,36.2578,137.9898
N.MSTH,36.2541,137.8591
N.MWDH,36.2118,137.914
N.MNYH,36.1987,138.0122
N.MAZH,36.1868,137.803
N.USDH,36.1844,138.5611
N.SAKH,36.1425,138.5504
N.SOJH,36.1184,137.9389
N.SSWH,36.1088,138.1297
N.NGWH,36.064,137.6849
N.TONH,36.0467,137.9917
N.SSGH,36.0233,138.14
N.TTNH,36.0087,137.9305
N.SUYH,35.9772,138.0636
N.KWKH,35.9735,138.5845
N.MMKH,35.9696,138.4797
N.KSOH,35.9632,137.7669
N.CHNH,35.9465,138.1848
N.KADH,35.9324,137.595
N.FMIH,35.9157,138.3052
N.INHH,35.8315,137.9236
N.HSEH,35.7946,138.0824
N.AGMH,35.787,137.7173
N.KGNH,35.755,137.9688
N.MTKH,35.6152,137.8797
N.NGIH,35.6056,137.6105
N.TKGH,35.5143,137.8767
N.ACHH,35.4786,137.735
N.AC2H,35.4786,137.7346
N.IIDH,35.4489,138.0058
N.HRYH,35.3095,137.6261
N.MSNH,35.2986,137.9267
N.KOKH,36.3779,137.3716
N.SRWH,36.2743,136.8979
N.KTRH,36.2493,137.5174
N.FRKH,36.2448,137.1983
N.TMAH,36.1337,137.2208
N.ASNH,36.094,137.3438
N.SYKH,36.0654,136.9479
N.ASSH,36.0216,137.3906
N.TSUH,35.9514,136.8732
N.MZEH,35.8991,137.1495
N.YMTH,35.8323,136.9621
N.GR2H,35.7991,137.2531
N.GERH,35.7306,137.3021
N.ITDH,35.7235,136.7847
N.KAYH,35.6682,137.1054
N.MNMH,35.6665,136.9618
N.HSKH,35.6401,137.3187
N.NEOH,35.6325,136.6134
N.SKUH,35.6033,136.4134
N.TNMH,35.5214,136.6127
N.TKTH,35.5038,136.7939
N.YOTH,35.4865,137.2464
N.NTGH,35.4571,137.4706
N.MKMH,35.4527,137.004
N.KSGH,35.4179,136.4347
N.KMHH,35.4121,136.8764
N.KIDH,35.2953,136.4732
N.HMAH,35.2768,136.7002
N.KSHH,35.2608,137.4058
N.SONH,35.307,138.1972
N.HTNH,35.3029,138.2076
N.SSNH,35.2655,138.8069
N.FJMH,35.2363,138.5939
N.MS2H,35.2233,137.9181
N.SBKH,35.2028,138.5659
N.MSKH,35.1981,137.9359
N.SUMH,35.1724,138.1236
N.NMZH,35.1609,138.8431
N.SZUH,35.1304,138.4243
N.SIZH,35.1147,138.3267
N.HKWH,35.0966,138.1351
N.KNIH,35.0854,138.9779
N.NRYH,35.0632,138.9597
N.HTSH,35.0418,139.1686
N.HT2H,35.0417,139.1685
N.KMTH,35.0331,138.2146
N.SOSH,35.0146,138.3526
N.TT2H,35.0086,137.8409
N.TATH,35.005,137.7968
N.SZJH,34.9756,138.9128
N.SMSH,34.9739,138.4924
N.HDAH,34.9679,138.8017
N.HD2H,34.9678,138.8021
N.OKBH,34.9532,138.2506
N.ITOH,34.9521,139.1379
N.ITHH,34.9467,139.0855
N.KNEH,34.9398,138.0767
N.JIZH,34.9161,138.9936
N.FJEH,34.9142,138.2008
N.TNRH,34.911,137.8821
N.KG3H,34.8769,138.0175
N.KGWH,34.8659,138.0191
N.MRIH,34.8601,137.9424
N.INSH,34.8343,137.6616
N.MKBH,34.805,137.5109
N.NS2H,34.7987,138.7724
N.FKRH,34.7948,137.9034
N.NSIH,34.7903,138.8009
N.KWZH,34.7832,138.97
N.SMDH,34.7409,138.9312
N.ARIH,34.6912,137.5604
N.OHSH,34.6859,138.0124
N.MIZH,34.6749,138.834
N.HMMH,34.6683,137.7441
N.HMOH,34.6342,138.1561
N.KGIH,35.3059,137.057
N.ASHH,35.2194,137.4039
N.KYSH,35.2177,136.8509
N.NGKH,35.1842,137.0474
N.TYEH,35.184,137.7268
N.STRH,35.1543,137.535
N.ASUH,35.1392,137.3359
N.TOEH,35.0814,137.7208
N.SMYH,35.0398,137.3125
N.HOUH,35.0002,137.6243
N.OKZH,34.9635,137.2377
N.TDEH,34.9512,137.4114
N.ANJH,34.9319,137.0567
N.NUKH,34.9189,137.2993
N.SSRH,34.8976,137.4876
N.TKNH,34.8886,136.8762
N.TK2H,34.8806,136.8316
N.HAZH,34.7884,137.1057
N.THNH,34.7853,137.4393
N.MCTH,34.7401,136.9385
N.TYHH,34.6643,137.3902
N.ABNH,34.6325,137.2313
N.ATMH,34.6158,137.0419
N.YOKH,34.9849,136.4563
N.GNOH,34.8224,136.4245
N.OYMH,34.7662,136.2835
N.URSH,34.547,136.3692
N.MASH,34.5424,136.5033
N.MGWH,34.358,136.3293
N.WATH,34.3532,136.5866
N.SMAH,34.2544,136.8216
N.OWSH,34.0637,136.1689
N.KHOH,33.7644,135.9969
N.OTUH,35.2482,135.8671
N.TAGH,35.2383,136.3599
N.HNOH,34.9638,136.261
N.SGRH,34.853,136.0316
N.INEH,35.7101,135.2496
N.AMNH,35.6814,135.0268
N.NDGH,35.5243,135.1243
N.FKCH,35.313,135.1334
N.MYMH,35.2685,135.5508
N.KMEH,35.0469,135.4846
N.KYTH,35.0094,135.7304
N.KMMH,34.8982,135.7461
N.KTNH,34.763,135.7052
N.OSKH,34.7159,135.5199
N.KNHH,34.6628,135.3896
N.TISH,34.5248,135.6608
N.TJRH,34.3977,135.2836
N.KSMH,35.6208,134.6566
N.MROH,35.4697,134.5953
N.IZSH,35.4574,134.8621
N.SNTH,35.2925,134.9071
N.HAGH,35.2193,134.5237
N.KAMH,35.1006,134.9037
N.SSYH,35.0708,135.2811
N.NKOH,35.0671,134.4234
N.YMSH,35.0322,134.6701
N.SGUH,34.9313,134.5423
N.TJOH,34.9082,135.0844
N.KMGH,34.8995,134.3284
N.KKGH,34.8166,134.808
N.AIOH,34.7934,134.4797
N.MHRH,34.2937,134.7941
N.YZEH,34.6413,136.0512
N.TRIH,34.5843,135.8541
N.HYSH,34.4237,136.0294
N.KRTH,34.3061,135.8369
N.KAWH,34.2925,136.0022
N.TKEH,33.9692,135.8574
N.TKWH,33.9666,135.6489
N.NAGH,34.3227,135.4483
N.WKYH,34.2868,135.0714
N.HNZH,34.1373,135.5369
N.NKMH,34.1314,135.3244
N.HRKH,33.9804,135.2122
N.INMH,33.8252,135.2176
N.OTOH,33.6948,135.5952
N.KTDH,33.6894,135.4396
N.NKTH,33.6072,135.8619
N.SSMH,33.5559,135.5454
N.IAMH,35.5729,134.3426
N.AKSH,35.4667,133.6307
N.KWHH,35.3946,134.1988
N.SKGH,35.3649,133.7486
N.MZKH,35.3553,133.4917
N.CHZH,35.2604,134.2173
N.HINH,35.2313,133.3909
N.MHSH,35.5579,133.3004
N.KSIH,35.5232,133.0226
N.HIRH,35.4259,132.8007
N.KACH,35.3422,132.8989
N.HKTH,35.2963,133.2604
N.SDAH,35.2243,132.7223
N.NITH,35.2235,133.0856
N.YSDH,35.1634,132.8558
N.OOCH,35.0918,132.5308
N.GOTH,35.0087,132.3069
N.KNGH,34.8839,132.2026
N.IWAH,34.8801,132.4207
N.HSMH,34.8697,132.6396
N.MITH,34.694,132.0402
N.HIKH,34.5725,132.0122
N.MICH,34.3904,131.8925
N.KSBH,35.2826,133.9263
N.YBRH,35.1809,133.6765
N.OHAH,35.0999,134.319
N.SYOH,35.0732,134.1162
N.SGOH,35.0493,133.3169
N.HKBH,34.9363,133.6205
N.TTAH,34.9103,133.4055
N.TKBH,34.8684,133.8527
N.OKYH,34.7783,133.789
N.SETH,34.7501,134.0702
N.HNSH,34.7283,134.2744
N.BSEH,34.6756,133.5283
N.MABH,34.6429,133.6861
N.TAMH,34.507,133.8905
N.KTWH,34.9137,132.9123
N.JNSH,34.8225,133.1674
N.GEIH,34.7471,132.3794
N.KSAH,34.7016,132.9524
N.YSHH,34.6629,132.6689
N.HRSH,34.581,132.4295
N.TGUH,34.5716,132.2326
N.KNBH,34.5566,133.4179
N.DWAH,34.5482,132.948
N.MIGH,34.5183,133.1375
N.HHIH,34.4572,132.7923
N.HISH,34.4122,132.3907
N.SKIH,34.3935,132.1611
N.NMKH,34.3785,133.3493
N.MIHH,34.3736,133.0236
N.KURH,34.2882,132.6411
N.OKMH,34.209,132.4063
N.KRHH,34.1161,132.5053
N.TMGH,34.6257,131.6681
N.MTMH,34.4837,131.6329
N.HGIH,34.3979,131.3774
N.NGTH,34.3408,131.177
N.MTOH,34.2176,131.3597
N.TKJH,34.2091,131.6859
N.MKWH,34.1974,131.9943
N.IKNH,34.1891,132.126
N.TYUH,34.1349,130.9323
N.KIKH,34.1149,131.0506
N.MNEH,34.1111,131.1434
N.HOFH,34.0494,131.5617
N.SYTH,34.027,132.0626
N.UBEH,33.9893,131.3012
N.TKUH,33.9725,131.8149
N.TOHH,33.9291,132.4046
N.KNSH,33.826,132.104
N.SADH,34.0112,134.0918
N.IKWH,33.9997,133.8932
N.TOKH,33.9902,134.5337
N.KYDH,33.8777,134.1295
N.HWSH,33.7751,134.4994
N.KNNH,33.6628,134.3156
N.UUMH,34.4572,134.3241
N.MKIH,34.27,134.1482
N.OHCH,34.2264,134.3042
N.AYKH,34.2186,133.9493
N.MNOH,34.198,133.7081
N.MYKH,34.1918,133.0581
N.SINH,33.9154,133.6497
N.TBRH,33.9023,133.0658
N.SJOH,33.865,133.184
N.TBEH,33.7112,132.8032
N.OOZH,33.5807,132.6011
N.YNDH,33.5388,133.0016
N.KWBH,33.5022,132.748
N.IKTH,33.4719,132.3072
N.UWAH,33.427,132.5055
N.MISH,33.3719,132.1157
N.HIYH,33.3347,132.798
N.TSMH,33.0556,132.5552
N.MTYH,33.7543,133.576
N.GHKH,33.7079,133.3641
N.KHUH,33.6748,133.8243
N.IKKH,33.6472,133.1444
N.KTGH,33.5421,134.1197
N.INOH,33.5313,133.4388
N.GSIH,33.5294,133.8192
N.SSKH,33.392,133.2866
N.MURH,33.2866,134.1603
N.TSYH,33.2683,132.9891
N.NAKH,33.0754,132.9524
N.OOTH,32.8414,132.7066
N.TSSH,32.7797,132.9718
N.KKYH,33.8853,130.9795
N.GENH,33.8501,130.5432
N.WKMH,33.6963,130.5962
N.BZNH,33.5925,131.1348
N.UMIH,33.5608,130.5499
N.KAHH,33.5512,130.7451
N.SGWH,33.5293,130.9503
N.KIWH,33.4654,130.8285
N.TARH,33.3674,130.6355
N.UKHH,33.2891,130.817
N.CZEH,33.508,129.8877
N.FJIH,33.4098,130.2329
N.HSFH,33.3652,130.4049
N.IMRH,33.2656,129.8798
N.SRIH,33.1805,130.1048
N.SBNH,33.2122,129.7652
N.HRDH,33.2116,129.4352
N.SBSH,33.1256,129.8102
N.KKIH,32.9553,129.8026
N.TKKH,32.9103,130.1408
N.NGSH,32.6999,129.8625
N.OGNH,33.122,131.0629
N.KHKH,33.1089,130.6949
N.AS2H,33.0031,131.0071
N.KKCH,32.9982,130.83
N.TMNH,32.9873,130.5608
N.NMNH,32.9553,131.2207
N.HKSH,32.8114,131.101
N.MSIH,32.7967,130.8199
N.YABH,32.6501,131.0251
N.TYNH,32.6344,130.7521
N.MSMH,32.6234,130.5584
N.IZMH,32.4901,130.9046
N.SNWH,32.3152,130.1811
N.ASKH,32.2918,130.5777
N.UWEH,32.2209,130.9096
N.HYOH,32.2052,130.737
N.MMTH,32.1704,130.3647
N.AKIH,33.4732,131.6859
N.YMGH,33.4581,131.4429
N.YGNH,33.4122,131.0326
N.KKEH,33.2844,131.2118
N.NTHH,33.1525,131.542
N.SNIH,33.1306,131.3473
N.MIEH,32.987,131.5881
N.TAKH,32.9726,131.3984
N.SIKH,32.9278,131.8695
N.UMEH,32.8486,131.6786
N.UMWH,32.8392,131.5357
N.KIGH,32.6972,131.6829
N.GKSH,32.6536,131.2257
N.MRTH,32.5181,131.3349
N.NOBH,32.506,131.6958
N.SBAH,32.4754,131.1043
N.HYGH,32.3654,131.5893
N.TGOH,32.3607,131.4643
N.NANH,32.347,131.2668
N.KWMH,32.2131,131.5307
N.NRAH,32.1987,131.1946
N.SUKH,32.0421,131.0618
N.KTMH,32.0217,131.29
N.SDWH,32.0208,131.47
N.MJNH,31.8643,130.9454
N.MJSH,31.7301,131.0791
N.NCNH,31.5649,131.351
N.NSMH,32.1554,130.1191
N.AKNH,31.994,130.2077
N.MYJH,31.9812,130.4438
N.KDIH,31.8699,130.4958
N.SENH,31.8374,130.3602
N.AIRH,31.714,130.6149
N.KORH,31.6988,130.4594
N.OSUH,31.5618,130.9969
N.KYAH,31.4005,130.8541
N.CRNH,31.3741,130.4333
N.UCNH,31.2583,131.0877
N.YKWH,31.2066,130.6183
N.SATH,31.0899,130.699
